id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
208,"Terril n°149, Saint Mark Sud",,UNESCO (à vérifier),Escaudain,,,,,,,,,,,,
209,"Terril n°149A, Saint Mark Nord",,UNESCO (à vérifier),Escaudain,,,,,,,,,,,,
210,"Terril n°150, Agache",,UNESCO (à vérifier),Fenain,,,,,,,,,,,,
211,"Terril n°151, Centrale d'Hornaing",,UNESCO (à vérifier),Hornaing,,,,,,,,,,,,
212,"Terril n°152, Audiffret Nord",,UNESCO (à vérifier),Escaudain,,,,,,,,,,,,
213,"Terril n°153, Audiffret Sud",,UNESCO (à vérifier),Escaudain,,,,,,,,,,,,
214,"Terril n°154, Lambrecht Ouest",,UNESCO (à vérifier),Hélesmes,,,,,,,,,,,,
215,"Terril n°155, Lambrecht Est",,UNESCO (à vérifier),Wallers,,,,,,,,,,,,
216,"Terril n°156, Turenne",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
217,"Terril n°157, Haveluy Nord",,UNESCO (à vérifier),Haveluy,,,,,,,,,,,,
218,"Terril n°158, Haveluy Sud",,UNESCO (à vérifier),Haveluy,,,,,,,,,,,,
219,"Terril n°159, Fosse d'Hérin",,UNESCO (à vérifier),Hérin,,,,,,,,,,,,
220,"Terril n°160, Arenberg",,UNESCO (à vérifier),Wallers,,,,,,,,,,,,
221,"Terril n°161, Rœulx",,UNESCO (à vérifier),Escaudain,,,,,,,,,,,,
222,"Terril n°162, Renard",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
223,"Terril n°162A, Renard",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
224,"Terril n°163, Enclos Est",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
225,"Terril n°163A, Enclos Nord",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
226,"Terril n°164, Enclos Sud",,UNESCO (à vérifier),Denain,,,,,,,,,,,,
227,"Terril n°165, Blignières Ouest",,UNESCO (à vérifier),Rouvignies,,,,,,,,,,,,
228,"Terril n°166, Blignières Est",,UNESCO (à vérifier),Wavrechain-sous-Denain et Rouvignies,,,,,,,,,,,,
229,"Terril n°166A, Blignières Carreau",,UNESCO (à vérifier),Wavrechain-sous-Denain,,,,,,,,,,,,
230,"Terril n°167, Douchy",,UNESCO (à vérifier),Douchy-les-Mines,,,,,,,,,,,,
232,"Terril n°169, Lavoir de Lourches",,UNESCO (à vérifier),Bouchain,,,,,,,,,,,,
234,"Terril n°171, Mare à Goriaux",,UNESCO (à vérifier),Wallers,,,,,,,,,,,,
235,"Terril n°172, Prussien",,UNESCO (à vérifier),Vicoigne,,,,,,,,,,,,
236,"Terril n°173, Vicoigne Est",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
237,"Terril n°173A, Vicoigne Ouest",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
238,"Terril n°174, Sabatier Sud",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
239,"Terril n°175, Sabatier Nord",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
240,"Terril n°175A, Sabatier Nord plat",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
241,"Terril n°176, Lavoir Rousseau",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
242,"Terril n°177, La Grange Est",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
243,"Terril n°178, La Grange Ouest",,UNESCO (à vérifier),Raismes,,,,,,,,,,,,
244,"Terril n°179, Thiers",,UNESCO (à vérifier),Saint-Saulve,,,,,,,,,,,,
245,"Terril n°179A, Mixtes sur 179",,UNESCO (à vérifier),Onnaing,,,,,,,,,,,,
246,"Terril n°180, Remblais Petit Diable",,UNESCO (à vérifier),Onnaing,,,,,,,,,,,,
247,"Terril n°181, Cendres sur 180",,UNESCO (à vérifier),Saint-Saulve,,,,,,,,,,,,
